region,keyword,id,name,employer,published_at,url,salary_from,salary_to,currency
Санкт-Петербург,etl,120991947,Junior Дата-аналитик,СПб ГКУ Центр Архивных Документов,2025-08-13T17:18:19+0300,https://hh.ru/vacancy/120991947,,75000.0,RUR
Москва,bi analyst,124067289,Analyst,Ок Софт,2025-08-26T13:04:00+0300,https://hh.ru/vacancy/124067289,,,
Москва,bi analyst,124355797,Data Analyst,PashaPay,2025-08-28T10:26:45+0300,https://hh.ru/vacancy/124355797,,,
Москва,bi analyst,124591924,Data Analyst,Algonova,2025-08-28T13:28:30+0300,https://hh.ru/vacancy/124591924,,,
Москва,bi analyst,121091720,Intern Data Analyst / Стажер - аналитик данных,Procter & Gamble,2025-08-28T10:24:58+0300,https://hh.ru/vacancy/121091720,100000.0,,RUR
Москва,bi analyst,124496263,Аналитик данных/Data Analyst/BI-аналитик,ЭстэйтЛига,2025-08-26T13:41:43+0300,https://hh.ru/vacancy/124496263,120000.0,150000.0,RUR
Москва,bi analyst,124585929,Data Analyst,LIAN,2025-08-28T11:46:20+0300,https://hh.ru/vacancy/124585929,280000.0,320000.0,RUR
Москва,bi analyst,124162944,Product analyst/Аналитик данных,Bip.ru,2025-08-27T11:40:39+0300,https://hh.ru/vacancy/124162944,,,
Москва,bi analyst,124507694,BI-аналитик,ОГО! онлайн-гипермаркет,2025-08-26T16:42:28+0300,https://hh.ru/vacancy/124507694,200000.0,,RUR
Москва,bi analyst,124294415,Аналитик по управлению запасами и закупками (BI / Data Analyst),Кема Клаб,2025-08-26T17:40:36+0300,https://hh.ru/vacancy/124294415,150000.0,180000.0,RUR
Москва,bi analyst,124513034,Аналитик данных,Модами,2025-08-26T19:36:07+0300,https://hh.ru/vacancy/124513034,50000.0,100000.0,RUR
Москва,bi analyst,124558327,Power BI разработчик,Data-Power,2025-08-27T16:51:48+0300,https://hh.ru/vacancy/124558327,100000.0,,RUR
Москва,bi analyst,124605770,BI Lead,Островок,2025-08-28T17:49:34+0300,https://hh.ru/vacancy/124605770,,,
Москва,bi analyst,124510727,Аналитик BI отчетности и баз данных,JTI,2025-08-26T17:49:22+0300,https://hh.ru/vacancy/124510727,,,
Москва,bi analyst,124592934,BI-аналитик,ПИК-специализированный застройщик,2025-08-28T13:48:22+0300,https://hh.ru/vacancy/124592934,,,
Москва,bi analyst,123813029,Аналитик данных PowerBI,Академ Интеллект,2025-08-26T10:54:02+0300,https://hh.ru/vacancy/123813029,60000.0,70000.0,RUR
Москва,bi analyst,124025772,Аналитик BI,АЛМАЗ,2025-08-28T17:29:50+0300,https://hh.ru/vacancy/124025772,200000.0,,RUR
Москва,bi analyst,124549952,Middle data analyst,Диджитал Форс,2025-08-27T14:33:34+0300,https://hh.ru/vacancy/124549952,,120000.0,RUR
Москва,bi analyst,124605246,BI аналитик,Ингосстрах,2025-08-28T17:32:44+0300,https://hh.ru/vacancy/124605246,,,
Москва,bi analyst,124607154,Аналитик данных (NA analyst),Coleman Group,2025-08-28T18:59:04+0300,https://hh.ru/vacancy/124607154,,,
Москва,bi analyst,124247414,Аналитик данных,Paper Planes,2025-08-28T20:52:23+0300,https://hh.ru/vacancy/124247414,50000.0,,RUR
Москва,bi analyst,124540952,BI-аналитик,NOVARDIS,2025-08-27T12:13:45+0300,https://hh.ru/vacancy/124540952,,,
Москва,bi analyst,124560950,Product Analyst/Продуктовый аналитик,Домклик,2025-08-27T17:37:37+0300,https://hh.ru/vacancy/124560950,,,
Москва,bi analyst,124027634,Data analyst,Ок Софт,2025-08-28T18:41:13+0300,https://hh.ru/vacancy/124027634,,,
Москва,bi analyst,124564052,Аналитик фулстек на проекты внедрение BI системы,WIT recruitment,2025-08-27T20:57:57+0300,https://hh.ru/vacancy/124564052,200000.0,300000.0,RUR
Москва,bi analyst,124444563,Data Analyst (AI & Football Analytics),СБЕР,2025-08-25T14:47:00+0300,https://hh.ru/vacancy/124444563,180000.0,180000.0,RUR
Москва,bi analyst,123474434,Младший дата-инженер / BI-аналитик,Data-Power,2025-08-27T15:25:54+0300,https://hh.ru/vacancy/123474434,,120000.0,RUR
Москва,bi analyst,124600343,Старший BI-аналитик,FUN&SUN,2025-08-28T15:59:27+0300,https://hh.ru/vacancy/124600343,,,
Москва,bi analyst,123938737,BI – Аналитик/BI – разработчик,Программный Инжиниринг и Технологии,2025-08-27T11:00:03+0300,https://hh.ru/vacancy/123938737,200000.0,,RUR
Москва,bi analyst,124284068,Business Analyst (CFO-1),Genesis Group AG,2025-08-26T14:46:09+0300,https://hh.ru/vacancy/124284068,,,
Москва,bi analyst,123185268,BI-аналитик,Группа Компаний Традиция,2025-08-27T14:21:36+0300,https://hh.ru/vacancy/123185268,250000.0,,RUR
Москва,bi analyst,124600120,Аналитик (группа анализа данных),Медиа Ком,2025-08-28T15:54:12+0300,https://hh.ru/vacancy/124600120,,,
Москва,bi analyst,124551948,Аналитик данных в Qlik / Analyst Qlik Sense,Salesmatch,2025-08-27T14:59:20+0300,https://hh.ru/vacancy/124551948,,,
Москва,bi analyst,121550040,BI-аналитик (внедрение и поддержка BI-систем) | BI Analyst,JACOBS DOUWE EGBERTS (JDE),2025-08-26T14:43:11+0300,https://hh.ru/vacancy/121550040,,,
Москва,bi analyst,124605987,Аналитик данных,EcoFinance,2025-08-28T17:58:08+0300,https://hh.ru/vacancy/124605987,,,
Москва,bi analyst,123302916,Product Analyst,Aviasales.ru,2025-08-27T10:54:24+0300,https://hh.ru/vacancy/123302916,,,
Москва,bi analyst,124292537,Game analyst,tltGames,2025-08-26T17:05:12+0300,https://hh.ru/vacancy/124292537,,,
Москва,bi analyst,124607067,Разработчик BI,«ОТИСИФАРМ»,2025-08-28T18:49:02+0300,https://hh.ru/vacancy/124607067,,,
Москва,bi analyst,124540800,Финансовый аналитик / BI аналитик,Смартхим,2025-08-27T12:12:00+0300,https://hh.ru/vacancy/124540800,100000.0,140000.0,RUR
Москва,bi analyst,124526976,Аналитик (прогнозирование),Ozon,2025-08-27T09:18:58+0300,https://hh.ru/vacancy/124526976,,,
Москва,bi analyst,123814531,BI аналитик | Middle - Senior,Effective,2025-08-26T11:21:16+0300,https://hh.ru/vacancy/123814531,,170000.0,RUR
Санкт-Петербург,bi analyst,124482171,BI разработчик / BI аналитик,Неватех,2025-08-26T10:50:47+0300,https://hh.ru/vacancy/124482171,,250000.0,RUR
Санкт-Петербург,bi analyst,123753962,BI-аналитик,Тазмар,2025-08-28T15:09:45+0300,https://hh.ru/vacancy/123753962,180000.0,,RUR
Санкт-Петербург,bi analyst,124450703,BI-аналитик,ГК АБЗ-1,2025-08-25T16:14:14+0300,https://hh.ru/vacancy/124450703,,,
Санкт-Петербург,bi analyst,124580811,Game Analyst,Gear Games,2025-08-28T10:27:02+0300,https://hh.ru/vacancy/124580811,,,
Санкт-Петербург,bi analyst,122333589,"Product Analyst (SQL, Python)",НаПоправку,2025-08-25T14:26:12+0300,https://hh.ru/vacancy/122333589,,,
Санкт-Петербург,bi analyst,123716496,Менеджер-практик в отдел BI,Qnits,2025-08-27T18:10:23+0300,https://hh.ru/vacancy/123716496,,200000.0,RUR
